image_num,cat_num,image_id,image_cat,typicality,arousal,size,manmade,precious,lives,heavy,natural,moves_mean,grasp,hold,bemoved,pleasant
3,18,carrot,vegetable,0.779255319,4.086956522,196.6627907,1.6486,3.8108,5.7568,1.5676,6.8108,2.1081,6.4324,6.7568,6.6216,5.6216
4,18,eggplant,vegetable,0.376322751,4.22,222.2888889,1.5263,3.6053,5.3947,2.1842,6.5263,1.7632,6.1842,6.4211,6.4474,5.1316
5,18,lettuce,vegetable,0.699848024,3.382978723,226.8068182,1.775,3.8,5.65,1.725,6.65,2.075,6.35,6.375,6.5,5.6
6,18,pumpkin,vegetable,0.360895445,3.854166667,243.28125,1.6757,4.1892,5.8378,5.1622,6.7027,2.1351,4.8378,4.9459,5.027,5.5676
1,19,airplane,vehicle,0.57989418,5.090909091,410.4680851,6.8947,5.1579,1.2368,6.5789,1.8158,6.5789,1.8684,1.3158,3.3684,4.9211
2,19,bike,vehicle,0.477380952,3.931818182,304.106383,6.8947,3.7632,1.3684,4.4211,1.7895,5.8158,5.5,4.9474,6.2632,5.7105
3,19,dirt_bike,vehicle,0.55762987,4.166666667,319.8469388,6.9231,3.8205,1.359,6.2051,1.6667,6.1026,5.2821,3.4103,5.2308,4.8718
4,19,firetruck,vehicle,0.655869324,4.68,397.1666667,6.5294,4.6176,1.2353,6.9412,1.5294,6.5294,2.8235,1.7059,4.6176,4.5
5,19,garbage_truck,vehicle,0.615033223,4.019230769,387.0454545,6.4286,2.8,1.1714,6.8571,1.4857,6.2,2.7714,1.7429,4.2571,2.7714
6,19,taxi,vehicle,0.743100649,4.466666667,360.6354167,6.7949,3.5385,1.641,6.8205,1.6667,6.6667,2.6923,2.0769,5.359,4.3077
1,20,canoe,watercraft,0.457792208,3.826923077,326.2386364,6.8158,4.2895,1.0789,5.9474,2.7632,5.5526,3.7632,2.7105,4.0789,5.4211
2,20,jetski,watercraft,0.527410714,4.304347826,321.125,6.641,4.3846,1.4103,6.5641,1.359,6.5385,4.4872,2.6923,4.7436,5.8974
3,20,ship,watercraft,0.714208075,4.022222222,407.9787234,6.7297,5.1622,1.4595,7,2.4865,6.5405,2.4054,1.5405,3.4324,5.6216
4,20,speedboat,watercraft,0.644018583,4.909090909,366.4021739,6.9167,4.2222,1.2778,6.8056,1.3889,6.5556,2.4167,1.1389,5.1389,5.3611
5,20,submarine,watercraft,0.374121315,4.177777778,404.8023256,6.9189,4.1351,1.2703,6.9459,1.4324,6.3243,1.5676,1.3243,3.4865,4
6,20,tugboat,watercraft,0.404069767,4.477272727,384.0531915,6.9231,3.3077,1.2821,6.9487,1.7436,6.2564,2.5385,1.4872,3.7692,4.4359
